Time_abs/ps, Signal/nA
  1680.000,     0.004172
  1680.050,    -0.000848
  1680.100,    -0.004405
  1680.150,    -0.004356
  1680.200,     0.005437
  1680.250,     0.013975
  1680.300,     0.025710
  1680.350,     0.037301
  1680.400,     0.050788
  1680.450,     0.065080
  1680.500,     0.079633
  1680.550,     0.079606
  1680.600,     0.087409
  1680.650,     0.089665
  1680.700,     0.093704
  1680.750,     0.095475
  1680.800,     0.099424
  1680.850,     0.101324
  1680.900,     0.102244
  1680.950,     0.102009
  1681.000,     0.102811
  1681.050,     0.102568
  1681.100,     0.095466
  1681.150,     0.098211
  1681.200,     0.100084
  1681.250,     0.097384
  1681.300,     0.096457
  1681.350,     0.096695
  1681.400,     0.098711
  1681.450,     0.099567
  1681.500,     0.101892
  1681.550,     0.105554
  1681.600,     0.104612
  1681.650,     0.110616
  1681.700,     0.114722
  1681.750,     0.119507
  1681.800,     0.121704
  1681.850,     0.123432
  1681.900,     0.128122
  1681.950,     0.129007
  1682.000,     0.131607
  1682.050,     0.126433
  1682.100,     0.126567
  1682.150,     0.124238
  1682.200,     0.124391
  1682.250,     0.113641
  1682.300,     0.108304
  1682.350,     0.094378
  1682.400,     0.075099
  1682.450,     0.043190
  1682.500,    -0.000945
  1682.550,    -0.075369
  1682.600,    -0.174610
  1682.650,    -0.316585
  1682.700,    -0.481630
  1682.750,    -0.670106
  1682.800,    -0.809706
  1682.850,    -0.826930
  1682.900,    -0.601687
  1682.950,    -0.054854
  1683.000,     0.827479
  1683.050,     1.884510
  1683.100,     2.828249
  1683.150,     3.344475
  1683.200,     3.237065
  1683.250,     2.572755
  1683.300,     1.597711
  1683.350,     0.608961
  1683.400,    -0.214854
  1683.450,    -0.813087
  1683.500,    -1.214062
  1683.550,    -1.396343
  1683.600,    -1.360635
  1683.650,    -1.145589
  1683.700,    -0.835970
  1683.750,    -0.526763
  1683.800,    -0.260554
  1683.850,    -0.059703
  1683.900,     0.080405
  1683.950,     0.171028
  1684.000,     0.226840
  1684.050,     0.242187
  1684.100,     0.229502
  1684.150,     0.204495
  1684.200,     0.177750
  1684.250,     0.160522
  1684.300,     0.156010
  1684.350,     0.166854
  1684.400,     0.190288
  1684.450,     0.219952
  1684.500,     0.251467
  1684.550,     0.267784
  1684.600,     0.277656
  1684.650,     0.275047
  1684.700,     0.261687
  1684.750,     0.243574
  1684.800,     0.222035
  1684.850,     0.206034
  1684.900,     0.197767
  1684.950,     0.190451
  1685.000,     0.188276
  1685.050,     0.188123
  1685.100,     0.180940
  1685.150,     0.181253
  1685.200,     0.176593
  1685.250,     0.174691
  1685.300,     0.167645
  1685.350,     0.158723
  1685.400,     0.154971
  1685.450,     0.156788
  1685.500,     0.155967
  1685.550,     0.147876
  1685.600,     0.146530
  1685.650,     0.139739
  1685.700,     0.135197
  1685.750,     0.131163
  1685.800,     0.126442
  1685.850,     0.125737
  1685.900,     0.126037
  1685.950,     0.118211
  1686.000,     0.115961
  1686.050,     0.107881
  1686.100,     0.102122
  1686.150,     0.098355
  1686.200,     0.094671
  1686.250,     0.097663
  1686.300,     0.095835
  1686.350,     0.092375
  1686.400,     0.090327
  1686.450,     0.082602
  1686.500,     0.076583
  1686.550,     0.073084
  1686.600,     0.065651
  1686.650,     0.056142
  1686.700,     0.047073
  1686.750,     0.041335
  1686.800,     0.037570
  1686.850,     0.030760
  1686.900,     0.037231
  1686.950,     0.046568
  1687.000,     0.048721
  1687.050,     0.058477
  1687.100,     0.055670
  1687.150,     0.055350
  1687.200,     0.056594
  1687.250,     0.059848
  1687.300,     0.053938
  1687.350,     0.050177
  1687.400,     0.049011
  1687.450,     0.051471
  1687.500,     0.048260
  1687.550,     0.044979
  1687.600,     0.036421
  1687.650,     0.023407
  1687.700,     0.014084
  1687.750,    -0.001148
  1687.800,    -0.015078
  1687.850,    -0.035275
  1687.900,    -0.053498
  1687.950,    -0.072816
  1688.000,    -0.095943
  1688.050,    -0.131709
  1688.100,    -0.164422
  1688.150,    -0.198979
  1688.200,    -0.236858
  1688.250,    -0.286721
  1688.300,    -0.353190
  1688.350,    -0.431100
  1688.400,    -0.527374
  1688.450,    -0.627624
  1688.500,    -0.719500
  1688.550,    -0.756061
  1688.600,    -0.669476
  1688.650,    -0.354288
  1688.700,     0.290274
  1688.750,     1.312440
  1688.800,     2.634506
  1688.850,     3.966790
  1688.900,     4.880087
  1688.950,     4.943155
  1689.000,     3.982254
  1689.050,     2.209592
  1689.100,     0.192629
  1689.150,    -1.482657
