Time_abs/ps, Signal/nA
  1680.000,     0.000361
  1680.050,    -0.001234
  1680.100,     0.000247
  1680.150,    -0.000472
  1680.200,     0.001098
  1680.250,     0.003243
  1680.300,     0.004783
  1680.350,     0.009371
  1680.400,     0.012675
  1680.450,     0.016274
  1680.500,     0.020584
  1680.550,     0.024865
  1680.600,     0.028645
  1680.650,     0.030320
  1680.700,     0.034117
  1680.750,     0.036775
  1680.800,     0.036027
  1680.850,     0.035959
  1680.900,     0.036673
  1680.950,     0.035357
  1681.000,     0.031850
  1681.050,     0.029513
  1681.100,     0.028695
  1681.150,     0.024752
  1681.200,     0.023318
  1681.250,     0.021160
  1681.300,     0.019775
  1681.350,     0.020136
  1681.400,     0.017851
  1681.450,     0.018559
  1681.500,     0.016117
  1681.550,     0.019445
  1681.600,     0.017841
  1681.650,     0.019662
  1681.700,     0.019061
  1681.750,     0.021081
  1681.800,     0.023325
  1681.850,     0.026014
  1681.900,     0.028065
  1681.950,     0.030462
  1682.000,     0.034412
  1682.050,     0.034789
  1682.100,     0.038186
  1682.150,     0.037272
  1682.200,     0.038329
  1682.250,     0.040686
  1682.300,     0.042368
  1682.350,     0.044676
  1682.400,     0.046448
  1682.450,     0.048657
  1682.500,     0.047083
  1682.550,     0.046581
  1682.600,     0.048336
  1682.650,     0.045447
  1682.700,     0.045788
  1682.750,     0.043829
  1682.800,     0.046252
  1682.850,     0.046426
  1682.900,     0.045644
  1682.950,     0.045683
  1683.000,     0.047259
  1683.050,     0.050573
  1683.100,     0.051114
  1683.150,     0.051164
  1683.200,     0.055644
  1683.250,     0.056416
  1683.300,     0.057590
  1683.350,     0.060132
  1683.400,     0.058545
  1683.450,     0.060463
  1683.500,     0.062810
  1683.550,     0.063580
  1683.600,     0.065405
  1683.650,     0.065027
  1683.700,     0.066177
  1683.750,     0.065131
  1683.800,     0.063687
  1683.850,     0.064979
  1683.900,     0.061585
  1683.950,     0.061730
  1684.000,     0.059250
  1684.050,     0.056896
  1684.100,     0.054808
  1684.150,     0.051116
  1684.200,     0.046355
  1684.250,     0.045484
  1684.300,     0.043973
  1684.350,     0.037907
  1684.400,     0.035133
  1684.450,     0.032916
  1684.500,     0.033054
  1684.550,     0.028729
  1684.600,     0.025980
  1684.650,     0.026451
  1684.700,     0.026631
  1684.750,     0.026377
  1684.800,     0.026841
  1684.850,     0.028085
  1684.900,     0.026356
  1684.950,     0.028698
  1685.000,     0.028799
  1685.050,     0.032633
  1685.100,     0.032099
  1685.150,     0.034626
  1685.200,     0.035177
  1685.250,     0.039375
  1685.300,     0.038572
  1685.350,     0.039833
  1685.400,     0.041129
  1685.450,     0.042169
  1685.500,     0.041215
  1685.550,     0.040801
  1685.600,     0.041348
  1685.650,     0.039796
  1685.700,     0.040463
  1685.750,     0.040777
  1685.800,     0.041514
  1685.850,     0.042030
  1685.900,     0.041755
  1685.950,     0.043023
  1686.000,     0.044341
  1686.050,     0.047022
  1686.100,     0.049021
  1686.150,     0.050978
  1686.200,     0.052229
  1686.250,     0.056471
  1686.300,     0.056021
  1686.350,     0.056053
  1686.400,     0.057397
  1686.450,     0.055101
  1686.500,     0.055205
  1686.550,     0.056224
  1686.600,     0.054451
  1686.650,     0.052476
  1686.700,     0.053380
  1686.750,     0.051541
  1686.800,     0.052658
  1686.850,     0.050336
  1686.900,     0.051236
  1686.950,     0.049695
  1687.000,     0.049783
  1687.050,     0.047109
  1687.100,     0.046226
  1687.150,     0.043992
  1687.200,     0.038707
  1687.250,     0.033558
  1687.300,     0.027022
  1687.350,     0.021970
  1687.400,     0.013734
  1687.450,     0.006244
  1687.500,    -0.000191
  1687.550,    -0.013444
  1687.600,    -0.022821
  1687.650,    -0.033234
  1687.700,    -0.047518
  1687.750,    -0.061336
  1687.800,    -0.072573
  1687.850,    -0.086510
  1687.900,    -0.093953
  1687.950,    -0.101065
  1688.000,    -0.102443
  1688.050,    -0.094416
  1688.100,    -0.076593
  1688.150,    -0.052020
  1688.200,    -0.015932
  1688.250,     0.032364
  1688.300,     0.093874
  1688.350,     0.164706
  1688.400,     0.245968
  1688.450,     0.330750
  1688.500,     0.414813
  1688.550,     0.494108
  1688.600,     0.557312
  1688.650,     0.601336
  1688.700,     0.615842
  1688.750,     0.599436
  1688.800,     0.545873
  1688.850,     0.456417
  1688.900,     0.328307
  1688.950,     0.178041
  1689.000,     0.006560
  1689.050,    -0.167634
  1689.100,    -0.332776
  1689.150,    -0.467829
  1689.200,    -0.560400
  1689.250,    -0.602774
  1689.300,    -0.588638
  1689.350,    -0.520882
  1689.400,    -0.401402
  1689.450,    -0.250716
  1689.500,    -0.079575
  1689.550,     0.089093
  1689.600,     0.233020
  1689.650,     0.340784
  1689.700,     0.407220
  1689.750,     0.420080
  1689.800,     0.388512
  1689.850,     0.322308
  1689.900,     0.233412
  1689.950,     0.142796
  1690.000,     0.061140
  1690.050,     0.004931
  1690.100,    -0.020758
  1690.150,    -0.015115
  1690.200,     0.014301
  1690.250,     0.057025
  1690.300,     0.107663
  1690.350,     0.151605
  1690.400,     0.183389
  1690.450,     0.194862
  1690.500,     0.187985
  1690.550,     0.167071
  1690.600,     0.135484
  1690.650,     0.107314
  1690.700,     0.081344
  1690.750,     0.064957
  1690.800,     0.061592
  1690.850,     0.067059
  1690.900,     0.078317
  1690.950,     0.093742
  1691.000,     0.104570
  1691.050,     0.115121
  1691.100,     0.117128
  1691.150,     0.114637
  1691.200,     0.109625
  1691.250,     0.099166
  1691.300,     0.090469
  1691.350,     0.085028
  1691.400,     0.080835
  1691.450,     0.076976
  1691.500,     0.076956
  1691.550,     0.075874
  1691.600,     0.073271
  1691.650,     0.072825
  1691.700,     0.067925
  1691.750,     0.063000
  1691.800,     0.055382
  1691.850,     0.049954
  1691.900,     0.041207
  1691.950,     0.037020
  1692.000,     0.029629
  1692.050,     0.023773
  1692.100,     0.019084
  1692.150,     0.013386
  1692.200,     0.008035
  1692.250,     0.003766
  1692.300,    -0.001158
  1692.350,    -0.007642
  1692.400,    -0.011994
  1692.450,    -0.013168
  1692.500,    -0.016606
  1692.550,    -0.017172
  1692.600,    -0.018915
  1692.650,    -0.019430
  1692.700,    -0.022351
  1692.750,    -0.022933
  1692.800,    -0.022421
  1692.850,    -0.026746
  1692.900,    -0.027069
  1692.950,    -0.031568
  1693.000,    -0.035045
  1693.050,    -0.036981
  1693.100,    -0.043133
  1693.150,    -0.049863
  1693.200,    -0.057837
  1693.250,    -0.067721
  1693.300,    -0.075399
  1693.350,    -0.084333
  1693.400,    -0.091311
  1693.450,    -0.095492
  1693.500,    -0.101382
  1693.550,    -0.105031
  1693.600,    -0.100368
  1693.650,    -0.093561
  1693.700,    -0.076459
  1693.750,    -0.054390
  1693.800,    -0.018027
  1693.850,     0.026217
  1693.900,     0.088901
  1693.950,     0.160664
  1694.000,     0.248835
  1694.050,     0.347899
  1694.100,     0.455996
  1694.150,     0.564773
  1694.200,     0.674745
  1694.250,     0.772914
  1694.300,     0.851256
  1694.350,     0.899181
  1694.400,     0.905523
  1694.450,     0.867374
  1694.500,     0.776478
  1694.550,     0.631213
  1694.600,     0.437427
  1694.650,     0.196894
  1694.700,    -0.076329
  1694.750,    -0.359317
  1694.800,    -0.636386
  1694.850,    -0.879727
  1694.900,    -1.070406
  1694.950,    -1.189756
  1695.000,    -1.229578
  1695.050,    -1.187203
  1695.100,    -1.064487
  1695.150,    -0.879945
  1695.200,    -0.659621
  1695.250,    -0.423178
  1695.300,    -0.209986
  1695.350,    -0.045032
  1695.400,     0.047901
  1695.450,     0.057013
  1695.500,    -0.016028
  1695.550,    -0.167356
  1695.600,    -0.373553
  1695.650,    -0.606444
  1695.700,    -0.841253
  1695.750,    -1.054947
  1695.800,    -1.232155
  1695.850,    -1.367495
  1695.900,    -1.465485
  1695.950,    -1.540485
  1696.000,    -1.613263
  1696.050,    -1.710261
  1696.100,    -1.856884
  1696.150,    -2.066159
  1696.200,    -2.352526
  1696.250,    -2.726399
  1696.300,    -3.184252
  1696.350,    -3.722621
  1696.400,    -4.329846
  1696.450,    -5.000113
  1696.500,    -5.728410
  1696.550,    -6.513303
  1696.600,    -7.350637
  1696.650,    -8.237088
  1696.700,    -9.154415
  1696.750,   -10.076852
  1696.800,   -10.955179
  1696.850,   -11.723330
  1696.900,   -12.299141
  1696.950,   -12.561838
  1697.000,   -12.367023
  1697.050,   -11.562846
  1697.100,    -9.982010
  1697.150,    -7.446852
  1697.200,    -3.802943
  1697.250,     1.079165
  1697.300,     7.264176
  1697.350,    14.767627
  1697.400,    23.478141
  1697.450,    33.152775
  1697.500,    43.414553
  1697.550,    53.711168
  1697.600,    63.365279
  1697.650,    71.572089
  1697.700,    77.477162
  1697.750,    80.209418
  1697.800,    78.992509
  1697.850,    73.241515
  1697.900,    62.668458
  1697.950,    47.347749
  1698.000,    27.805897
  1698.050,     5.067056
  1698.100,   -19.457910
  1698.150,   -44.031205
  1698.200,   -66.715039
  1698.250,   -85.568397
  1698.300,   -98.851351
  1698.350,  -105.265304
  1698.400,  -104.131265
  1698.450,   -95.521122
  1698.500,   -80.283720
  1698.550,   -60.027700
  1698.600,   -36.923764
  1698.650,   -13.459016
  1698.700,     7.868479
  1698.750,    24.908859
  1698.800,    36.139547
  1698.850,    40.862059
  1698.900,    39.284068
  1698.950,    32.491476
  1699.000,    22.219800
  1699.050,    10.520744
  1699.100,    -0.532532
  1699.150,    -9.238493
  1699.200,   -14.465903
  1699.250,   -15.796251
  1699.300,   -13.558166
  1699.350,    -8.681457
  1699.400,    -2.456737
  1699.450,     3.720499
  1699.500,     8.672724
  1699.550,    11.619157
  1699.600,    12.261148
  1699.650,    10.824895
  1699.700,     7.918206
  1699.750,     4.379578
  1699.800,     1.037679
  1699.850,    -1.475267
  1699.900,    -2.772444
  1699.950,    -2.815408
  1700.000,    -1.860039
  1700.050,    -0.325792
  1700.100,     1.303092
  1700.150,     2.605328
  1700.200,     3.323603
