Time_abs/ps, Signal/nA
  1680.000,    -0.172072
  1680.050,    -0.036528
  1680.100,     0.047695
  1680.150,     0.082391
  1680.200,     0.078515
  1680.250,     0.043085
  1680.300,     0.010102
  1680.350,    -0.007636
  1680.400,    -0.006800
  1680.450,     0.017385
  1680.500,     0.056489
  1680.550,     0.104978
  1680.600,     0.160479
  1680.650,     0.204105
  1680.700,     0.229728
  1680.750,     0.234364
  1680.800,     0.220012
  1680.850,     0.190170
  1680.900,     0.160665
  1680.950,     0.128480
  1681.000,     0.105520
  1681.050,     0.084884
  1681.100,     0.077195
  1681.150,     0.064976
  1681.200,     0.060043
  1681.250,     0.044925
  1681.300,     0.035724
  1681.350,     0.025957
  1681.400,     0.023833
  1681.450,     0.017833
  1681.500,     0.021491
  1681.550,     0.017674
  1681.600,     0.020813
  1681.650,     0.022468
  1681.700,     0.018495
  1681.750,     0.013905
  1681.800,     0.012935
  1681.850,     0.010027
  1681.900,     0.013678
  1681.950,     0.013914
  1682.000,     0.016287
  1682.050,     0.009456
  1682.100,     0.009167
  1682.150,    -0.001458
  1682.200,    -0.006271
  1682.250,    -0.014009
  1682.300,    -0.016113
  1682.350,    -0.014375
  1682.400,    -0.020587
  1682.450,    -0.022414
  1682.500,    -0.035627
  1682.550,    -0.046860
  1682.600,    -0.060471
  1682.650,    -0.076837
  1682.700,    -0.088556
  1682.750,    -0.105737
  1682.800,    -0.117870
  1682.850,    -0.133504
  1682.900,    -0.143932
  1682.950,    -0.150221
  1683.000,    -0.147569
  1683.050,    -0.151638
  1683.100,    -0.147375
  1683.150,    -0.142867
  1683.200,    -0.139001
  1683.250,    -0.135096
  1683.300,    -0.138668
  1683.350,    -0.147221
  1683.400,    -0.145059
  1683.450,    -0.155550
  1683.500,    -0.155924
  1683.550,    -0.166527
  1683.600,    -0.170102
  1683.650,    -0.178117
  1683.700,    -0.192366
  1683.750,    -0.203377
  1683.800,    -0.227542
  1683.850,    -0.251068
  1683.900,    -0.275135
  1683.950,    -0.300556
  1684.000,    -0.331708
  1684.050,    -0.368310
  1684.100,    -0.407989
  1684.150,    -0.451348
  1684.200,    -0.505625
  1684.250,    -0.566654
  1684.300,    -0.629642
  1684.350,    -0.704766
  1684.400,    -0.801408
  1684.450,    -0.919982
  1684.500,    -1.059536
  1684.550,    -1.226511
  1684.600,    -1.380609
  1684.650,    -1.488122
  1684.700,    -1.447805
  1684.750,    -1.137317
  1684.800,    -0.396419
  1684.850,     0.878191
  1684.900,     2.626394
  1684.950,     4.547812
  1685.000,     6.085333
  1685.050,     6.577842
  1685.100,     5.622828
  1685.150,     3.343791
  1685.200,     0.428278
  1685.250,    -2.261780
  1685.300,    -4.107495
  1685.350,    -5.003019
  1685.400,    -5.190748
  1685.450,    -4.911261
  1685.500,    -4.273002
  1685.550,    -3.344846
  1685.600,    -2.306158
  1685.650,    -1.401542
  1685.700,    -0.797993
  1685.750,    -0.513607
  1685.800,    -0.472598
  1685.850,    -0.574620
  1685.900,    -0.740066
  1685.950,    -0.938635
