Time_abs/ps, Signal/nA
  1675.000,     0.004615
  1675.050,    -0.001004
  1675.100,    -0.001486
  1675.150,    -0.001263
  1675.200,    -0.000862
  1675.250,    -0.000056
  1675.300,     0.001352
  1675.350,     0.002202
  1675.400,     0.000505
  1675.450,    -0.001491
  1675.500,    -0.003182
  1675.550,    -0.006204
  1675.600,    -0.008427
  1675.650,    -0.011297
  1675.700,    -0.014642
  1675.750,    -0.018916
  1675.800,    -0.027386
  1675.850,    -0.035157
  1675.900,    -0.045685
  1675.950,    -0.058943
  1676.000,    -0.070854
  1676.050,    -0.085985
  1676.100,    -0.103335
  1676.150,    -0.121062
  1676.200,    -0.143610
  1676.250,    -0.171502
  1676.300,    -0.206634
  1676.350,    -0.250737
  1676.400,    -0.304548
  1676.450,    -0.372144
  1676.500,    -0.457863
  1676.550,    -0.570495
  1676.600,    -0.711701
  1676.650,    -0.889643
  1676.700,    -1.093186
  1676.750,    -1.298334
  1676.800,    -1.430430
  1676.850,    -1.366866
  1676.900,    -0.929502
  1676.950,     0.065576
  1677.000,     1.710326
  1677.050,     3.853219
  1677.100,     6.057633
  1677.150,     7.561419
  1677.200,     7.633490
  1677.250,     5.978644
  1677.300,     3.032038
  1677.350,    -0.251683
  1677.400,    -2.897146
  1677.450,    -4.386628
  1677.500,    -4.873706
  1677.550,    -4.780749
  1677.600,    -4.383419
  1677.650,    -3.705338
  1677.700,    -2.736504
  1677.750,    -1.627152
  1677.800,    -0.647856
  1677.850,     0.014941
  1677.900,     0.337712
  1677.950,     0.403533
  1678.000,     0.325211
  1678.050,     0.178681
  1678.100,     0.011931
  1678.150,    -0.139513
  1678.200,    -0.245676
  1678.250,    -0.292216
  1678.300,    -0.288513
  1678.350,    -0.252311
  1678.400,    -0.197634
  1678.450,    -0.148474
  1678.500,    -0.126183
  1678.550,    -0.151618
  1678.600,    -0.232659
  1678.650,    -0.363460
  1678.700,    -0.526073
  1678.750,    -0.694770
  1678.800,    -0.846036
  1678.850,    -0.980879
  1678.900,    -1.104055
  1678.950,    -1.226375
  1679.000,    -1.359361
  1679.050,    -1.519545
  1679.100,    -1.721578
  1679.150,    -1.967756
  1679.200,    -2.256668
  1679.250,    -2.581725
  1679.300,    -2.952997
  1679.350,    -3.382383
  1679.400,    -3.898124
  1679.450,    -4.532979
  1679.500,    -5.322550
  1679.550,    -6.314709
  1679.600,    -7.562798
  1679.650,    -9.144114
  1679.700,   -11.162155
  1679.750,   -13.774341
  1679.800,   -17.199697
  1679.850,   -21.706713
  1679.900,   -27.559526
  1679.950,   -34.952970
  1680.000,   -43.870080
  1680.050,   -53.728742
  1680.100,   -62.912336
