Time_abs/ps, Signal/nA
  1650.000,     0.006445
  1650.050,     0.002210
  1650.100,     0.000123
  1650.150,    -0.002270
  1650.200,    -0.006508
  1650.250,    -0.013608
  1650.300,    -0.021482
  1650.350,    -0.029465
  1650.400,    -0.037078
  1650.450,    -0.043165
  1650.500,    -0.044170
  1650.550,    -0.044412
  1650.600,    -0.044339
  1650.650,    -0.042842
  1650.700,    -0.043225
  1650.750,    -0.041977
  1650.800,    -0.044044
  1650.850,    -0.045870
  1650.900,    -0.048651
  1650.950,    -0.051583
  1651.000,    -0.055464
  1651.050,    -0.060532
  1651.100,    -0.063907
  1651.150,    -0.072846
  1651.200,    -0.082980
  1651.250,    -0.098404
  1651.300,    -0.114911
  1651.350,    -0.132233
  1651.400,    -0.152410
  1651.450,    -0.174114
  1651.500,    -0.199779
  1651.550,    -0.229161
  1651.600,    -0.264670
  1651.650,    -0.310311
  1651.700,    -0.364413
  1651.750,    -0.433441
  1651.800,    -0.515559
  1651.850,    -0.624304
  1651.900,    -0.760678
  1651.950,    -0.935590
  1652.000,    -1.157830
  1652.050,    -1.429809
  1652.100,    -1.729513
  1652.150,    -1.999141
  1652.200,    -2.108355
  1652.250,    -1.839619
  1652.300,    -0.924639
  1652.350,     0.870329
  1652.400,     3.563288
  1652.450,     6.813596
  1652.500,     9.734572
  1652.550,    11.190570
  1652.600,    10.316262
  1652.650,     7.060213
  1652.700,     2.415011
  1652.750,    -2.085187
  1652.800,    -5.237297
  1652.850,    -6.710486
  1652.900,    -6.997248
  1652.950,    -6.683772
  1653.000,    -5.989281
  1653.050,    -4.854914
  1653.100,    -3.341086
  1653.150,    -1.765528
  1653.200,    -0.511195
  1653.250,     0.229061
  1653.300,     0.518634
  1653.350,     0.515965
  1653.400,     0.359842
  1653.450,     0.139775
  1653.500,    -0.091727
  1653.550,    -0.286972
  1653.600,    -0.406157
  1653.650,    -0.443686
  1653.700,    -0.415734
  1653.750,    -0.351723
  1653.800,    -0.275603
  1653.850,    -0.219335
  1653.900,    -0.215807
  1653.950,    -0.285700
  1654.000,    -0.433806
  1654.050,    -0.646348
  1654.100,    -0.890515
  1654.150,    -1.125699
  1654.200,    -1.334299
  1654.250,    -1.517353
  1654.300,    -1.691545
  1654.350,    -1.873761
  1654.400,    -2.080648
  1654.450,    -2.334239
  1654.500,    -2.647524
  1654.550,    -3.026218
  1654.600,    -3.461931
  1654.650,    -3.954501
  1654.700,    -4.516171
  1654.750,    -5.179683
  1654.800,    -5.982094
  1654.850,    -6.974166
  1654.900,    -8.216497
  1654.950,    -9.778159
  1655.000,   -11.746759
  1655.050,   -14.237961
  1655.100,   -17.434196
  1655.150,   -21.592692
  1655.200,   -27.061187
  1655.250,   -34.224482
  1655.300,   -43.469161
  1655.350,   -54.980491
  1655.400,   -68.477765
  1655.450,   -82.704404
  1655.500,   -94.542679
  1655.550,   -98.193453
  1655.600,   -84.744086
  1655.650,   -43.256267
  1655.700,    35.360265
  1655.750,   151.606215
  1655.800,   289.731102
  1655.850,   415.797732
  1655.900,   487.253259
  1655.950,   472.596582
  1656.000,   369.582448
  1656.050,   209.518057
  1656.100,    40.866151
  1656.150,   -97.605054
  1656.200,  -192.403842
  1656.250,  -249.074653
  1656.300,  -275.759526
  1656.350,  -274.440979
  1656.400,  -245.564850
  1656.450,  -195.878806
  1656.500,  -138.410075
  1656.550,   -85.738785
  1656.600,   -44.771633
  1656.650,   -16.806327
  1656.700,    -0.031071
  1656.750,     8.172296
  1656.800,    10.187936
  1656.850,     8.214895
  1656.900,     4.736872
  1656.950,     2.016596
  1657.000,     1.151780
  1657.050,     2.244223
  1657.100,     5.111222
  1657.150,     9.170057
  1657.200,    13.299123
  1657.250,    16.357870
  1657.300,    17.523300
  1657.350,    16.357875
  1657.400,    13.072038
  1657.450,     8.723686
  1657.500,     4.534765
  1657.550,     1.195320
  1657.600,    -1.122406
  1657.650,    -2.394675
  1657.700,    -2.791575
  1657.750,    -2.775500
  1657.800,    -2.836438
  1657.850,    -3.256052
  1657.900,    -3.984372
  1657.950,    -4.745484
  1658.000,    -5.343865
  1658.050,    -5.712940
  1658.100,    -5.787759
  1658.150,    -5.455026
  1658.200,    -4.662659
  1658.250,    -3.539682
  1658.300,    -2.434068
  1658.350,    -1.653301
  1658.400,    -1.136256
  1658.450,    -0.577833
  1658.500,     0.115482
  1658.550,     0.749151
  1658.600,     1.116869
  1658.650,     1.179530
  1658.700,     1.028260
  1658.750,     0.787728
