n,k,d
2.77944,-0.0306121,0.0005
2.51967,-0.0439988,0.0005
2.02665,-0.0659198,0.0005
2.32635,-0.0704245,0.0005
2.40251,-0.0141701,0.0005
2.12875,-0.0938549,0.0005
2.04369,-0.0902389,0.0005
2.30195,-0.0444543,0.0005
2.51781,-0.0907092,0.0005
2.84399,-0.099959,0.0005
2.56623,-0.0968708,0.0005
2.18791,-0.0726633,0.0005
2.11468,-0.0517046,0.0005
2.1548,-0.0476328,0.0005
2.14906,-0.0744796,0.0005
2.87395,-0.0287973,0.0005
2.45611,-0.091661,0.0005
2.73874,-0.0280552,0.0005
2.72097,-0.00372674,0.0005
2.28012,-0.0819503,0.0005
2.20501,-0.049656,0.0005
2.71018,-0.0976711,0.0005
2.19138,-0.0706733,0.0005
2.8705,-0.00447539,0.0005
2.8551,-0.0585303,0.0005
2.97779,-0.0936056,0.0005
2.79265,-0.0879229,0.0005
2.53829,-0.00956841,0.0005
2.11551,-0.0661194,0.0005
2.26475,-0.050957,0.0005
2.22316,-0.018224,0.0005
2.09648,-0.0544708,0.0005
2.0338,-0.0532534,0.0005
2.2617,-0.0183526,0.0005
2.0204,-0.0441151,0.0005
2.81558,-0.0686819,0.0005
2.39391,-0.0751915,0.0005
2.23454,-0.047237,0.0005
2.87938,-0.0339547,0.0005
2.93983,-0.0372387,0.0005
2.10924,-0.0275509,0.0005
2.23464,-0.0778965,0.0005
2.47598,-0.0546699,0.0005
2.89382,-0.0323511,0.0005
2.05105,-0.00281014,0.0005
2.57807,-0.00286624,0.0005
2.28773,-0.0147619,0.0005
2.73519,-0.06546,0.0005
2.25827,-0.0940989,0.0005
2.85872,-0.093762,0.0005
2.43582,-0.0901115,0.0005
2.35969,-0.0218557,0.0005
2.58135,-0.0706075,0.0005
2.95326,-0.014584,0.0005
2.52083,-0.00701653,0.0005
2.14642,-0.0219147,0.0005
2.38237,-0.00912807,0.0005
2.10165,-0.0615223,0.0005
2.69992,-0.0431356,0.0005
2.81834,-0.0654141,0.0005
2.6038,-0.0268476,0.0005
2.26821,-0.0418598,0.0005
2.3436,-0.011468,0.0005
2.01131,-0.0899538,0.0005
2.64127,-0.00691019,0.0005
2.97108,-0.0500244,0.0005
2.65866,-0.0871643,0.0005
2.54106,-0.0680702,0.0005
2.82514,-0.00471248,0.0005
2.59187,-0.0571376,0.0005
2.92316,-0.0343102,0.0005
2.94833,-0.0598788,0.0005
2.39628,-0.0332613,0.0005
2.71716,-0.058701,0.0005
2.95755,-0.0870407,0.0005
2.46923,-0.0208011,0.0005
2.2268,-0.0865537,0.0005
2.04042,-0.0171758,0.0005
2.10756,-0.0571349,0.0005
2.85913,-0.0204127,0.0005
